Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
4/8/22,K212274,INT Contour,Carina Medical LLC,Radiology,MUJ
4/6/22,K203783,ClariPulmo,ClariPi Inc.,Radiology,LLZ
4/5/22,K214081,MRCAT Head & Neck,Philips Oy,Radiology,MUJ
4/5/22,K220043,"HERA W10 Diagnostic Ultrasound System, HERA W9 Diagnostic Ultrasound System","Samsung Medison Co., LTD",Radiology,IYN
4/4/22,K212624,EFAI Intelligent Cardiothoracic Ratio (iCTR) Assessment System,"Ever Fortune. AI Co., Ltd.",Radiology,QIH
4/1/22,K213657,DEEPVESSEL FFR,KeyaMed NA Inc.,Cardiovascular,PJA
4/1/22,K220151,MAGNETOM Avanto Fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
3/22/22,K200828,Athelas Home,Athelas Inc.,Hematology,GKZ
3/22/22,K212960,"Aplio a550, Aplio a450, and Aplio a, Diagnostic Ultrasound System, Software V6.5",Canon Medical Systems Corporation,Radiology,IYN
3/21/22,K213721,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
3/16/22,K213779,Customize,3D-Side SA,Radiology,QIH
3/14/22,K214043,BriefCase,"Aidoc Medical, Ltd.",Radiology,QFM
3/14/22,K203744,Arterys MICA,Arterys Inc.,Radiology,QIH
3/11/22,K213725,CardIQ Suite,GE Medical Systems SCS,Radiology,JAK
3/10/22,K213566,ClearRead Xray Pneumothorax,"Riverain Technologies, Inc.",Radiology,QFM
3/4/22,K210365,Second Opinion,Pearl Inc.,Radiology,MYN
3/1/22,K212365,BoneView,Gleamer,Radiology,QBS
2/25/22,K213693,MAGNETOM Vida with syngo MR XA50A,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
2/24/22,K213941,Annalise Enterprise CXR Triage Pneumothorax,Annalise-AI,Radiology,QFM
2/18/22,K213999,Deep Learning Image Reconstruction,"GE Medical Systems, LLC.",Radiology,JAK
2/18/22,K213319,"Viz ANEURYSM, Viz ANX","Viz.ai, Inc.",Radiology,QFM
2/17/22,K213689,"Voluson P6, Voluson P8",GE Healthcare,Radiology,IYN
2/11/22,K213603,SIGNA Artist Evo,GE Healthcare(Tianjin) Company Limited,Radiology,LNH
2/8/22,K213165,Rapid,iSchema View Inc.,Radiology,LLZ
2/4/22,K213938,Revolution Ascend,GE Healthcare Japan Corporation,Radiology,JAK
2/4/22,K212654,"Micro C Medical Imaging System, M01","OXOS Medical, Inc.",Radiology,IZL
2/3/22,K213976,Contour ProtégéAI,MIM Software Inc.,Radiology,QKB
1/28/22,K203260,syngo.CT Brain Hemorrhage,"Siemens Medical Solutions USA, Inc.",Radiology,QAS
1/24/22,K212333,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V6.5",Canon Medical Systems Corporation,Radiology,IYN
1/20/22,K214019,syngo.CT Extended Functionality,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
1/20/22,K213668,SIGNA Hero,"GE Healthcare (GE Medical Systems, LLC)",Radiology,LNH
1/19/22,K210747,Caption Interpretation Automated Ejection Fraction Software,Caption Health,Radiology,QIH
1/19/22,K212012,Follicle Clarity,Cycle Clarity,Radiology,QIH
1/16/22,K211980,SIGNA Prime,GE Healthcare (Tianjin) Company Limited,Radiology,LNH
1/14/22,K213737,Quantib ND,Quantib B.V.,Radiology,LLZ
1/14/22,K213307,Eclipse II with Smart Noise Cancellation,"Carestream Health, Inc.",Radiology,MQB
1/14/22,K210760,Precise Image,"Philips Medical Systems Nederland, B.V.",Radiology,JAK
1/13/22,K213642,"Voluson S6, Voluson S8, Voluson S8t, Voluson S10, Voluson S10 Expert",GE Healthcare,Radiology,IYN
1/12/22,K212005,UNiD Spine Analyzer,"MEDICREA International, Inc.",Radiology,LLZ
1/7/22,K211443,AIBOLIT 3D+,"AIbolit Technologies, LLC",Radiology,LLZ
1/6/22,K213544,TOMTEC-ARENA,TOMTEC Imaging Systems GmbH,Radiology,QIH
12/29/21,K213776,LiverSmart,Resonance Health Analysis Services Pty Ltd,Radiology,PCS
12/22/21,K202404,BoneMRI,MRIguidance B.V,Radiology,QIH
12/21/21,K210670,BU-CAD,TaiHao Medical Inc.,Radiology,QDQ
12/21/21,K212690,qXR-BT,Qure.ai Technologies,Radiology,QIH
12/20/21,K213275,EchoGo Core (2.0),Ultromics Limited,Radiology,QIH
12/16/21,K212616,Koios DS,"Koios Medical, Inc.",Radiology,POK
12/16/21,K213628,VBrain,Vysioneer Inc.,Radiology,QKB
12/15/21,K213155,RT-Mind-AI,"MedMind Technology Co., Ltd.",Radiology,QKB
12/15/21,K211803,HealthPPT,Zebra Medical Vision Ltd.,Radiology,QFM
12/9/21,K212466,LVivo Seamless,DiA Imaging Analysis Ltd,Radiology,QIH
12/6/21,K213096,Al-Rad Companion (Pulmonary),"Siemens Medical Solutions USA, Inc.",Radiology,JAK
12/3/21,K212219,AHI System,Fifth Eye Inc.,Cardiovascular,QNV
12/3/21,K212442,Cydar EV (Series B) and Cydar EV Maps,Cydar Ltd.,Radiology,OWB
12/1/21,K213305,"Vantage Fortian 1.5T, MRT-1550, V8.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
11/26/21,K211541,MammoScreen 2.0,Therapixel,Radiology,QDQ
11/19/21,K211326,EndoScreener,"Chengdu Wision Medical Device Co., LTD.",Gastroenterology-Urology,QNP
11/19/21,K210831,OnQ Neuro,"CorTechs Labs, Inc",Radiology,QIH
11/17/21,K211678,Lunit INSIGHT MMG,Lunit Inc.,Radiology,QDQ
11/17/21,K212456,Swoop Point-of-Care Magnetic Resonance Imaging (POC MRI) Scanner System,"Hyperfine, Inc.",Radiology,LNH
11/17/21,K212336,Soteria.AI,"Omega Medical Imaging, LLC",Radiology,OWB
11/16/21,K212265,"TEX20/TEX20 Pro/TEX20S/TEX20T/TEX20 Exp/TEX20 Elite Diagnostic Ultrasound System, TEX10/ TEX10 Pro/TEX10S/TEX10T/TEX10 Exp/TEX10 Elite/TE X/TE X Lite Diagnostic Ultrasound System","Shenzhen Mindray Bio-Medical Electronics Co.,LTD",Radiology,IYN
11/15/21,K213436,Clarius Ultrasound Scanner,Clarius Mobile Health Corp.,Radiology,IYN
11/10/21,K211733,Lunit INSIGHT CXR Triage,Lunit Inc.,Radiology,QFM
11/3/21,K210543,IM007,"Implicity, Inc.",Cardiovascular,DQK
10/29/21,K211161,Critical Care Suite with Endotracheal Tube Positing AI algorithm,"GE Medical Systems, LLC",Radiology,QIH
10/25/21,K212218,Advanced Algorithms for Treatment Management Applications (AATMA),Elekta Solutions AB,Radiology,QKB
10/22/21,K210807,FlightPlan for Liver,GE Medical Systems SCS,Radiology,LLZ
10/22/21,K212516,IRNF App,Apple Inc.,Cardiovascular,QDB
10/20/21,K210632,Contour ProtegeAI,MIM Software Inc.,Radiology,QKB
10/14/21,K210999,SwiftMR,AIRS Medical Inc.,Radiology,LLZ
10/14/21,K212261,StrokeSENS LVO,"Circle Neurovascular Imaging, Inc",Radiology,QAS
10/12/21,K212116,VBrain-OAR,Vysioneer Inc.,Radiology,QKB
10/2/21,K202927,EYE-SYNC,"SyncThink, Inc.",Neurology,QEA
9/28/21,K211964,SubtlePET,"Subtle Medical, Inc.",Radiology,KPS
9/24/21,K212704,"Philips EPIQ Diagnostic Ultrasound System, Philips Affiniti Diagnostic Ultrasound System",Philips Medical Systems,Radiology,IYN
9/21/21,DEN200080,Paige Prostate,Paige.AI,Pathology,QPN
9/17/21,K212067,Deep Learning Image Reconstruction,GE Healthcare Japan Corporation,Radiology,JAK
9/17/21,K212269,Intelligent NR,Canon Inc.,Radiology,MQB
9/15/21,K210085,HealthCCSng,Zebra Medical Vision Ltd.,Radiology,JAK
9/10/21,K203785,ClariSIGMAM,ClariPi Inc.,Radiology,QIH
9/10/21,K210438,Versana Premier,"GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN
9/10/21,K211828,Aquilion Exceed LB,Canon Medical Systems Corporation,Radiology,JAK
9/9/21,K211824,"HERA W9, HERA W10 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
9/8/21,K211867,RayStation 11.0,RaySearch Laboratories AB (publ),Radiology,MUJ
9/8/21,K211945,V8 Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN
9/8/21,DEN200030,FEops HEARTguide,FEops NV,Cardiovascular,QQI
9/8/21,K203555,AmCAD-UT,AmCad BioMed Corporation,Radiology,QIH
9/8/21,K211597,"EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System",Philips Medical Systems,Radiology,IYN
9/2/21,K211881,AI Segmentation,"Varian Medical Systems, Inc.",Radiology,MUJ
8/31/21,K201560,Auto Lung Nodule Detection,"Samsung Electronics Co.,Ltd.",Radiology,MYN
8/31/21,K212383,EndoNaut,Therenva SAS,Radiology,OWB
8/27/21,K203696,RBknee,Radiobotics ApS,Radiology,LLZ
8/20/21,K211846,Discovery MI Gen2,"GE Medical Systems, LLC.",Radiology,KPS
8/16/21,K212230,TruSPECT  Radiological Image Processing Station,Spectrum Dynamics Medical Ltd,Radiology,LLZ
8/12/21,K211179,InferRead CT Stroke.AI,"Infervision Medical Technology Co., Ltd.",Radiology,QAS
8/11/21,K203448,uCT ATLAS with uWS-CT-Dual Energy Analysis,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK
8/6/21,K211764,Vereos PET/CT,Philips Medical Systems Nederland B.V.,Radiology,KPS
8/6/21,K212100,Kosmos,"EchoNous, Inc.",Radiology,IYN
8/2/21,K211431,breastscape v1.0,Olea Medical,Radiology,QIH
7/30/21,K211379,syngo.via RT Image Suite,Siemens Medical Solutions USA Inc.,Radiology,MUJ
7/30/21,K211222,qER-Quant,Qure.ai Technologies,Radiology,QIH
7/27/21,K212074,ClariCT.AI,ClariPi Inc.,Radiology,LLZ
7/27/21,K210791,Us2.v1,eko.ai Pte. Ltd. d/b/a Us2.ai,Radiology,QIH
7/27/21,K211279,Volpara Imaging Software,Volpara Health Technologies Limited,Radiology,LLZ
7/27/21,K211655,aPROMISE,EXINI Diagnostics AB,Radiology,LLZ
7/23/21,K211951,GI Genius,Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP
7/20/21,K211906,Vital Signs,Oxehealth Limited,Cardiovascular,QME
7/20/21,K210719,Change Healthcare Anatomical AI,Change Healthcare Canada Company,Radiology,QIH
7/20/21,K210666,Chest-CAD,"Imagen Technologies, Inc",Radiology,MYN
7/12/21,K211506,PowerLook Density Assessment V4.0,"iCAD, Inc.",Radiology,QIH
7/8/21,K211788,HALO,Nico.Lab B.V.,Radiology,QAS
7/1/21,K210611,MAGNETOM Free.Max,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
6/29/21,K210645,RayStation 10.1,RaySearch Laboratories AB (publ),Radiology,MUJ
6/17/21,K203514,Precise Position,"Philips Healthcare (Suzhou) Co., Ltd.",Radiology,JAK
6/16/21,K210034,EnsoSleep,"EnsoData, Inc.",Neurology,OLZ
6/16/21,K202718,Qmenta Care Platform Family,"Mint Labs, Inc., d/b/a. QMENTA",Radiology,LLZ
6/11/21,K210484,"LINQ II Insertable Cardiac Monitor, Zelda AI ECG Classification System","Medtronic, Inc.",Cardiovascular,MXD
6/10/21,K203629,IDx-DR,Digital Diagnostics Inc.,Ophthalmic,PIB
6/10/21,K211459,"syngo.via MI WorkFlows, Scenium, syngo MBF","Siemens Medical Solutions USA, Inc.",Radiology,QIH
6/8/21,K210458,"OPTIS Mobile Next Imaging System, OPTIS Integrated Next Imaging System",Abbott Medical,Radiology,NQQ
6/2/21,DEN200069,Cognoa ASD Diagnosis Aid,"Cognoa, Inc.",Neurology,QPF
6/2/21,K210404,Transpara 1.7.0,ScreenPoint Medical B.V.,Radiology,QDQ
5/21/21,K202527,Zio ECG Utilization Software (ZEUS) System,"iRhythm Technologies, Inc.",Cardiovascular,DQK
5/19/21,K210187,Overjet Dental Assist,"Overjet, Inc.",Radiology,LLZ
5/19/21,K210237,CINA CHEST,Avicenna.AI,Radiology,QAS
5/13/21,K210426,HS40 Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN
5/13/21,K211118,SIGNA 7.0T,"GE Medical Systems, LLC",Radiology,LNH
4/30/21,K210001,HYPER AiR,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS
4/23/21,K203502,MEDO-Thyroid,MEDO DX Pte. Ltd.,Radiology,QIH
4/23/21,K203314,Cartesion Prime (PCD-1000A/3) V10.8,Canon Medical Systems Corporation,Radiology,KPS
4/21/21,K210556,Preview Shoulder,Genesis Software Innovations,Radiology,QIH
4/20/21,K203610,Automatic Anatomy Recognition (AAR),"Quantitative Radiology Solutions, LLC",Radiology,QKB
4/19/21,K203469,AI Segmentation,"Varian Medical Systems, Inc.",Radiology,MUJ
4/16/21,K203517,Saige-Q,"DeepHealth, Inc.",Radiology,QFM
4/14/21,K202992,"BriefCase, RIB Fractures Triage (RibFx)","Aidoc Medical, Ltd.",Radiology,QFM
4/9/21,DEN200055,GI Genius,"Cosmo Artificial Intelligence - AI, LTD",Gastroenterology-Urology,QNP
4/2/21,K202928,DV. Target,Deepvoxel INC,Radiology,QKB
4/2/21,K202441,Eclipse II with Smart Noise Cancellation,"Carestream Health, Inc.",Radiology,MQB
4/1/21,DEN200038,Gili Pro BioSensor (also known as Gili BioSensor System),ContinUse Biometrics Ltd.,Cardiovascular,QOK
3/31/21,K210071,SIS System (Version 5.1.0),"Surgical Information Sciences, Inc.",Radiology,LLZ
3/31/21,K203443,"MAGNETOM Vida, MAGNETOM Sola, MAGNETOM Lumina, MAGNETOM Altea","Siemens Medical Solutions USA, Inc.",Radiology,LNH
3/31/21,K203258,syngo.CT Lung CAD,Siemens Healthcare GmbH,Radiology,OEB
3/26/21,DEN200019,Oxehealth Vital Signs,Oxehealth Limited,Cardiovascular,QME
3/24/21,K203225,Aquilion ONE (TSX-306A/3) V10.4 with Spectral Imaging System,Canon Medical Systems Corporation,Radiology,JAK
3/23/21,K210209,Viz ICH,"Viz.ai, Inc.",Radiology,QAS
3/19/21,K203235,VBrain,Vysioneer Inc.,Radiology,QKB
3/12/21,K202284,Oncospace,"Oncospace, Inc.",Radiology,MUJ
3/12/21,K203822,ProFound AI Software V3.0,iCAD Inc.,Radiology,QDQ
3/9/21,K203256,Imbio RV/LV Software,"Imbio, LLC",Radiology,QIH
3/5/21,K202300,"Optellum Virtual Nodule Clinic, Optellum software, Optellum platform",Optellum Ltd,Radiology,POK
3/4/21,K203323,"Vantage Galan 3T, MRT-3020, V6.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
3/2/21,K203617,MaxFOV 2,"GE Medical Systems, LLC.",Radiology,JAK
3/1/21,DEN200022,Analytic for Hemodynamic Instability (AHI),Fifth Eye Inc.,Cardiovascular,QNV
2/26/21,K203182,SubtleMR,"Subtle Medical, Inc.",Radiology,LLZ
2/25/21,K202990,NinesMeasure,"Nines, Inc.",Radiology,LLZ
2/25/21,K203578,"OTIS 2.1 Optical Coherence Tomography System, THiA Optical Coherence Tomography System","Perimeter Medical Imaging AI, Inc.",Radiology,NQQ
2/19/21,K202212,TruPlan,Circle Cardiovascular Imaging Inc.,Radiology,LLZ
2/9/21,K203103,"Synapse 3D, Synapse 3D Base Tools v6.1",Fujifilm Corporation,Radiology,LLZ
2/5/21,K210053,LVivo Software Application,DiA Imaging Analysis Ltd,Radiology,QIH
2/4/21,K203582,QUIBIM Precision Prostate (qp-Prostate),QUIBIM S.L.,Radiology,LLZ
1/29/21,K201411,Visage Breast Density,Visage Imaging GmbH,Radiology,QIH
1/15/21,K193271,uAI EasyTriage-Rib,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QFM
1/15/21,K202767,"Vantage Orian 1.5T, MRT-1550, V6.0",Canon Medical Systems Corporation,Radiology,LNH
1/14/21,K202700,ART-Plan,TheraPanacea,Radiology,QKB
1/12/21,K203280,Hepatica v1 (Hepatica v1.0.0),Perspectum Ltd.,Radiology,LNH
1/12/21,K201836,Aquilion Lightning (TSX-036A/7) V10.2 with AiCE-i,Canon Medical Systems Corporation,Radiology,JAK
1/11/21,P200003,Imagio Breast Imaging System,"Seno Medical Instruments, Inc.",Radiology,QNK
1/9/21,K200717,CLEWICU System (ClewICUServer and ClewICUnitor),CLEW Medical Ltd.,Cardiovascular,QNL
1/8/21,K203329,HeartFlow Analysis,"HeartFlow, Inc.",Cardiovascular,PJA
1/7/21,K202414,BrainInsight,"Hyperfine Research, Inc",Radiology,LLZ
12/29/20,K203508,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
12/22/20,K202229,AI Metrics,"AI Metrics, LLC",Radiology,LLZ
12/18/20,K201555,EchoGo Pro,Ultromics Ltd,Radiology,POK
12/10/20,K203042,Aquilion Exceed LB (TSX-202A/3) V10.6 with AiCE-I,Canon Medical Systems Corporation,Radiology,JAK
12/10/20,K201745,Deep Learning Image Reconstruction for Gemstone Spectral Imaging,"GE Medical Systems, LLC",Radiology,JAK
12/7/20,K201039,HepaFat-AI,Resonance Health Analysis Services Pty Ltd,Radiology,LNH
12/4/20,K202487,HealthJOINT,Zebra Medical Vision Ltd.,Radiology,LLZ
11/20/20,K193287,CorInsights MRI,"ADM Diagnostics, Inc.",Radiology,LLZ
11/20/20,K200873,HALO,NICo-Lab B.V.,Radiology,QAS
11/20/20,K203169,Revolution Ascend,GE Healthcare Japan Corporation,Radiology,JAK
11/18/20,K201019,Genius AI Detection,"Hologic, Inc.",Radiology,QDQ
11/18/20,K201195,"syngo.via MI Workflows, syngo MBF","Siemens Medical Solutions USA, Inc.",Radiology,QIH
11/17/20,K193306,PROView,GE Medical Systems SCS,Radiology,LLZ
11/12/20,K201985,KardiaAI,"AliveCor, Inc.",Cardiovascular,DQK
11/12/20,K193289,"FastStroke, CT Perfusion 4D",GE Medical Systems SCS,Radiology,JAK
11/6/20,K193562,AI-Rad Companion Organs RT,"Siemens Medical Solutions USA, Inc.",Radiology,QKB
11/6/20,K200750,Neuro.Al Algorithm,"TeraRecon, Inc.",Radiology,LLZ
10/30/20,K202013,WRDensity by Whiterabbit.ai,Whiterabbit.ai Inc.,Radiology,QIH
10/30/20,K200323,AutoContour,"Radformation, Inc.",Radiology,QKB
10/28/20,K202089,"LensHooke X1 PRO Semen Quality Analyzer, LensHooke X1 PRO SE Semen Quality Analyzer","Bonraybio Co., Ltd.",Hematology,POV
10/16/20,K200595,"CellaVision DC-1, CellaVision DC-1 PPA",CellaVision AB,Hematology,JOY
10/16/20,K201710,A View LCS,"Coreline Soft Co., Ltd.",Radiology,LLZ
10/15/20,K201615,SIGNA 7.0T,"GE Medical Systems, LLC",Radiology,LNH
10/11/20,K202501,Quantib Prostate,Quantib BV,Radiology,LLZ
10/9/20,K193631,"Stethee Pro 1, Stethee Pro Software System",M3DICINE Pty Ltd.,Cardiovascular,DQD
10/2/20,K202170,LiverMultiScan,Perspectum LTD,Radiology,LNH
10/2/20,K202280,Cleerly Labs v2.0,"Cleerly, Inc.",Radiology,LLZ
10/2/20,K201301,X100 with Full Field Peripheral Blood Smear (PBS) Application,Scopio Labs LTD.,Hematology,JOY
9/30/20,K192051,THINQ,CorticoMetrics LLC,Radiology,LLZ
9/29/20,K202546,LVivo Seamless,DiA Imaging Analysis Ltd,Radiology,QIH
9/25/20,K201103,Xeleris V Processing and Review Systems,GE Healthcare,Radiology,LLZ
9/24/20,K200569,RayStation,RaySearch Laboratories AB (publ),Radiology,MUJ
9/18/20,K201992,Caption Guidance,Caption Health,Radiology,QJU
9/18/20,K200852,"EchoPAC Software Only, EchoPAC Plug-In",GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,LLZ
9/16/20,K201369,AVA (Augmented Vascular Analysis),See-Mode Technologies Pte. Ltd.,Radiology,LLZ
9/16/20,K201298,VX1,Volta Medical,Cardiovascular,DQK
9/15/20,K192665,"Accelerate Pheno System, Accelerate PhenoTest BC Kit","Accelerate Diagnostics, Inc.",Microbiology,PRH
9/9/20,K200851,"Vivid T8, Vivid T9",GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
9/9/20,K200708,Vivid iq,GE Medical Systems Ultrasound and,Radiology,IYN
9/6/20,K201841,EyeBOX,"Oculogica, Inc.",Neurology,QEA
9/4/20,K202238,SIGNA Artist,GE Healthcare (Tianjin) Company Limited,Radiology,LNH
9/2/20,K200833,RX-1 Rhythm Express Remote Cardiac Monitoring System,VivaQuant Inc.,Cardiovascular,MLO
8/26/20,K201020,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
8/26/20,K200714,AVIEW,"Coreline Soft Co., Ltd",Radiology,LLZ
8/14/20,K201632,TOMTEC-ARENA,TOMTEC Imaging Systems GmbH,Radiology,LLZ
8/13/20,K201444,Syngo.via RT Image Suite,"Siemens Medical Solutions USA, Inc.",Radiology,MUJ
8/13/20,K201232,Limbus Contour,Limbus AI Inc.,Radiology,LLZ
8/7/20,K200990,VIDAvision,VIDA Diagnostics Inc.,Radiology,JAK
8/7/20,K201310,Accipiolx,MaxQ Al Ltd.,Radiology,QAS
8/4/20,K193210,HYPER DLR,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS
8/3/20,K200667,EyeArt,"Eyenuk, Inc",Ophthalmic,PIB
7/30/20,K193283,AI-Rad Companion Prostate MR,Siemens Medical Solutions USA Inc.,Radiology,QIH
7/30/20,K193417,FractureDetect (FX),"Imagen Technologies, Inc.",Radiology,QBS
7/23/20,K200743,Vivid E80/ Vivid E90/ Vivid E95,GE Medical Systems Ultrasound and,Radiology,IYN
7/22/20,K200621,Caption Interpretation Automated Ejection Fraction Software,Caption Health,Radiology,QIH
7/16/20,K200497,"Vivid S60N, Vivid S70N",GE Medical Systems Ultrasound and Primary Care Diagnostics,Radiology,IYN
7/16/20,K200905,HealthMammo,Zebra Medical Vision Ltd.,Radiology,QFM
7/14/20,K193097,"Vantage Orian 1.5T, MRT-1550, V6.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
7/10/20,K192969,Ezra Plexo Software,Ezra AI Inc.,Radiology,QIH
7/10/20,K193294,AI-Rad Companion Engine,"Siemens Medical Solutions USA, Inc.",Radiology,LLZ
7/9/20,K200941,Rapid LVO,iSchemaView Inc.,Radiology,QAS
7/6/20,K193073,Deep Recon,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK
7/2/20,K192880,InferRead Lung CT.AI,"Beijing Infervision Technology Co.,Ltd.",Radiology,OEB
7/2/20,K193252,Contour ProtegeAI,MIM Software Inc.,Radiology,QKB
6/26/20,K200760,Rapid ASPECTS,iSchemaView Inc.,Radiology,POK
6/24/20,K200855,CINA,AVICENNA.AI,Radiology,QAS
6/23/20,K200232,LVivo Software Application,DiA Imaging Analysis Ltd,Radiology,QIH
6/19/20,K193298,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
6/17/20,K193290,AI-Rad Companion Brain MR,"Siemens Medical Solutions USA, Inc.",Radiology,LLZ
6/17/20,K200921,qER,Qure.ai Technologies,Radiology,QAS
6/11/20,K200356,MEDO ARIA,Medo.ai,Radiology,QIH
6/11/20,K200980,Auto 3D Bladder Volume Tool,"Butterfly Network, Inc.",Radiology,IYO
6/3/20,K200974,QLAB Advanced Quantification Software,Philips Healthcare,Radiology,QIH
6/1/20,K192601,uWS-MR,"Shanghai United Imaging Healthcare Co., Ltd",Radiology,QIH
5/14/20,K201034,Syngo.CT CaScoring,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
5/12/20,K192901,HealthVCF,Zebra Medical Vision Ltd.,Radiology,QFM
5/5/20,K193220,AVIEW LCS,"Coreline Soft Co., Ltd",Radiology,LLZ
5/5/20,K193176,uMR 780,"Shanghai United Imaging Healthcare Co., Ltd",Radiology,LNH
5/1/20,K201012,"EPIQ Diagnostic Ultrasound System Series, Affiniti Diagnostic Ultrasound System Series, CX50 Diagnostic Ultrasound System, Sparq Diagnostic Ultrasound System, Lumify Diagnostic Ultrasound System","Philips Ultrasound, Inc.",Radiology,IYN
4/21/20,K193351,NinesAI,"Nines, Inc.",Radiology,QAS
4/16/20,K200755,Caption Guidance,Caption Health,Radiology,QJU
4/13/20,K192167,CuraRad-ICH,CuraCloud Corp.,Radiology,QAS
4/10/20,K193282,SIGNA Premier,"GE Healthcare (GE Medical Systems, LLC)",Radiology,LNH
4/8/20,K193300,AIMI-Triage CXR PTX,"RADLogics, Inc.",Radiology,QFM
3/31/20,K193087,Rapid ICH,iSchemaView Incorporated,Radiology,QAS
3/26/20,K192732,BodyGuardian Remote Monitoring System,"Preventice Technologies, Inc.",Cardiovascular,DSI
3/26/20,K193518,KOSMOS,"EchoNous, Inc.",Radiology,IYN
3/25/20,K192437,Arterys MICA,Arterys Inc.,Radiology,QIH
3/25/20,K192854,MammoScreen,Therapixel,Radiology,QDQ
3/20/20,K200036,AI-ECG Tracker,"Shenzhen Carewell Electronics Co., Ltd.",Cardiovascular,DPS
3/20/20,K193281,Hepatic VCAR,GE Medical Systems SCS,Radiology,JAK
3/18/20,K193658,Viz ICH,"Viz.ai, Inc.",Radiology,QAS
3/16/20,K193267,Al-Rad Companion (Musculoskeletal),"Siemens Medical Solutions USA, Inc.",Radiology,JAK
3/12/20,K192388,SonoVision Ultrasound Imaging System,"Tissue Differentiation Intelligence, LLC",Radiology,IYN
3/9/20,K192574,"Vantage Galan 3T, MRT-3020, V6.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
3/9/20,K193216,syngo.CT Lung CAD,"Siemens Medical Solutions, Inc",Radiology,OEB
3/5/20,K193229,Transpara,ScreenPoint Medical B.V.,Radiology,QDQ
3/4/20,K191550,Broncholab,Fluidda Inc.,Radiology,JAK
2/28/20,K191556,Red Dot,Behold.AI Technologies Limited,Radiology,QFM
2/28/20,K191928,AccuContour,Xiamen Manteia Technology LTD.,Radiology,QKB
2/28/20,K192962,icobrain-ctp,Icometrix NV,Radiology,LLZ
2/21/20,K192832,Aquilion Prime SP (TSX-303B8) V10.2 with AiCE-i,Canon Medical Systems Corporation,Radiology,JAK
2/19/20,K192973,densitas densityai,"Densitas, Inc.",Radiology,LLZ
2/14/20,K193248,"Biograph Vision, Biograph mCT Family of PET/CTs","Siemens Medical Solutions USA, Inc",Radiology,KPS
2/13/20,K192828,Aquilion ONE (TSX-306A/3) V10.0 with Spectral Imaging System,Canon Medical Systems Corporation,Radiology,JAK
2/12/20,K193178,Biograph Horizon,"Siemens Medical Solution USA, Inc.",Radiology,KPS
2/10/20,K192377,"Ethos Treatment Management, Ethos Treatment Planning, Ethos Radiotherapy System, Halcyon","Varian Medical Systems, Inc.",Radiology,IYE
2/7/20,DEN190040,Caption Guidance,"Bay Labs, Inc.",Radiology,QJU
1/24/20,K193109,MRCAT brain,Philips Medical Systems MR Finland,Radiology,MUJ
1/17/20,K192415,Study Watch with Irregular Pulse Monitor,Verily Life Sciences LLC,Cardiovascular,DXH
1/16/20,K192956,Auto Positioning,"GE Hangwei Medical Systems, Co., Ltd.",Radiology,JAK
1/15/20,K191125,ADAS 3D,Galgo Medical S.L,Radiology,LLZ
1/15/20,K192004,Eko Analysis Software,Eko Devices Inc,Cardiovascular,MWI
1/2/20,K183089,Air Next,NuvoAir AB,Anesthesiology,BZG
12/20/19,K191647,QLAB Advanced Quantification Software,Philips Healthcare,Radiology,QIH
12/20/19,K192383,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
12/17/19,K192763,syngo.CT CaScoring,"Siemens Medical Solutions USA, Inc.",Radiology,JAK
