Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
6/7/24,K241038,Cardiac CT Function Software Application,Circle Cardiovascular Imaging,Radiology,QIH
6/7/24,K231010,Corvair,"AliveCor, Inc.",Cardiovascular,MHX
6/7/24,K232035,Impala,"AliveCor, Inc.",Cardiovascular,DPS
6/7/24,K234042,EFAI Bonesuite XR Bone Age Pro Assessment System (BAP-XR-100),"Ever Fortune.AI Co., Ltd.",Radiology,QIH
5/31/24,K240612,CINA-VCF,Avicenna.AI,Radiology,QFM
5/24/24,K234154,uPMR 790,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,OUO
5/24/24,K240769,LVivo IQS,DiA Imaging Analysis Ltd.,Radiology,QIH
5/23/24,K233108,VinDr-Mammo,VinBigData Joint Stock Company,Radiology,QFM
5/23/24,K240294,Syngo Carbon Enterprise Access (VA40A),Siemens Healthcare GmbH,Radiology,LLZ
5/21/24,K233543,YSIO X.pree,Siemens Medical Solutions,Radiology,KPR
5/17/24,DEN230035,DentalMonitoring,Dental Monitoring SAS,Dental,SBC
5/17/24,K233209,uOmnispace.CT,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,QIH
5/16/24,K233625,RAYDENT SW,"RAY Co., Ltd.",Dental,PNN
5/15/24,K233247,Heuron ICH,"Heuron Co., Ltd.",Radiology,QAS
5/15/24,K241112,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH
5/15/24,DEN230043,Notal Vision Home Optical Coherence Tomography (OCT) System,Notal Vision Inc,Ophthalmic,SAX
5/10/24,K232410,SmartChest,Milvue,Radiology,QFM
5/7/24,K232928,DeepContour (V1.0),"Wisdom Technologies., Inc.",Radiology,QKB
5/7/24,K233864,ASSURE Wearable ECG,"Kestra Medical Technologies, Inc.",Cardiovascular,MWJ
5/3/24,K232416,AUTION EYE AI-4510 Urine Particle Analysis System,Arkray Inc.,Hematology,LKM
5/3/24,K233687,ECHELON Synergy V10.0,Fujifilm Healthcare Americas Corporation,Radiology,LNH
5/3/24,K232491,CT 5300,"Philips Healthcare (Suzhou) Co., Ltd.",Radiology,JAK
4/30/24,K232923,Ethos Treatment Management (3.0); Ethos Treatment Planning (2.0),Varian Medical Systems Inc.,Radiology,IYE
4/29/24,K240062,ARVIS® Shoulder,"Insight Medical Systems, Inc.",Neurology,OLO
4/26/24,K233673,uMR Jupiter,"Shanghai United Imaging Healthcare Co., Ltd",Radiology,LNH
4/26/24,K240406,Sonio Detect,Sonio,Radiology,IYN
4/26/24,K232799,syngo.via RT Image Suite,"Siemens Medical Solutions USA, Inc.",Radiology,MUJ
4/25/24,K232331,InVision Precision LVEF (LVEF),InVision Medical Technology Corporation,Radiology,QIH
4/24/24,K240850,EPIQ Series Diagnostic Ultrasound Systems; Affiniti Series Diagnostic Ultrasound Systems,Philips Ultrasound LLC,Radiology,IYN
4/23/24,K240058,AEYE-DS,AEYE Health Inc.,Ophthalmic,PIB
4/22/24,K234068,ART-Plan (v.2.2.0),Therapanacea SAS,Radiology,MUJ
4/22/24,K233582,Rapid,iSchema View Inc.,Radiology,LLZ
4/19/24,K240781,SKOUT® system,"Iterative Scopes, Inc.",Gastroenterology-Urology,QNP
4/17/24,K233186,uOmnispace.MR,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,QIH
4/15/24,K240773,VisAble.IO,Techsomed,Radiology,QTZ
4/12/24,K240238,"Vantage Fortian/Orian 1.5T, MRT-1550, V9.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
4/11/24,K233698,True Enhance DL,GE Healthcare Japan Corporation,Radiology,JAK
4/10/24,K240744,uMR 680,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LNH
4/9/24,DEN230023,Rho,16 Bit Inc,Radiology,SAO
4/8/24,K240291,EFAI CARDIOSUITE CTA ACUTE AORTIC SYNDROME ASSESSMENT SYSTEM,"Ever Fortune.AI, Co., Ltd.",Radiology,QAS
4/5/24,K233666,CorVista System with PH Add-On,"Analytics for Life, Inc.",Cardiovascular,SAT
4/5/24,K233249,APPRAISE-HRI,"The Surgeon General, Department of the Army (TSG-DA)",Cardiovascular,SAR
4/4/24,K240172,Preview Shoulder,Genesis Software Innovations,Radiology,QIH
4/3/24,K232899,AI-Rad Companion Organs RT,Siemens Medical Solutions U.S.A.,Radiology,QKB
